MUN;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
Planalto;24481;62,76;0,56;0,557;0,738;0,428;222;9,22;262;2136
Poções;44701;72,14;0,604;0,583;0,798;0,474;508;9,87;625;5168
Pojuca;33066;87,2;0,666;0,645;0,819;0,559;133;5,12;225;1274
Ponto Novo;15742;62,48;0,58;0,539;0,762;0,475;143;8,51;137;1660
Porto Seguro;126929;81,92;0,676;0,673;0,801;0,572;370;3,48;419;4872
Potiraguá;9810;84,33;0,625;0,595;0,754;0,545;82;8,3;92;1141
Prado;27627;71,84;0,621;0,616;0,784;0,497;149;6,13;166;1510
Presidente Dutra;13750;81,32;0,614;0,572;0,73;0,553;102;8,42;124;1027
Presidente Jânio Quadros;13652;47,58;0,542;0,533;0,772;0,386;138;11,03;205;1527
Presidente Tancredo Neves;23846;62,73;0,559;0,566;0,727;0,424;200;5,95;176;2045
Queimadas;24602;51,41;0,592;0,55;0,764;0,493;257;9,76;360;2027
Quijingue;27228;45,27;0,544;0,539;0,689;0,434;317;9,12;358;2719
Quixabeira;9554;60,36;0,578;0,547;0,753;0,469;109;9,78;121;644
Rafael Jambeiro;22874;41,82;0,564;0,538;0,768;0,435;226;9,93;343;2545
Remanso;38957;57;0,579;0,569;0,757;0,451;301;7,95;384;2966
Retirolândia;12055;51,05;0,636;0,579;0,773;0,574;119;8,73;131;708
Riachão das Neves;21937;63,39;0,578;0,527;0,779;0,471;191;7,75;174;2074
Riachão do Jacuípe;33172;78,64;0,628;0,588;0,755;0,559;360;9,62;446;3195
Riacho de Santana;30646;62,11;0,615;0,572;0,764;0,532;277;8,81;382;2860
Ribeira do Amparo;14276;56,02;0,512;0,503;0,694;0,384;145;8,92;162;1687
Ribeira do Pombal;47518;82,39;0,601;0,599;0,704;0,515;402;8,43;451;3946
Ribeirão do Largo;8602;76,91;0,54;0,566;0,759;0,366;57;7,15;74;602
Rio de Contas;13007;90,29;0,605;0,58;0,767;0,498;168;12,02;238;1282
Rio do Antônio;14815;64,73;0,576;0,555;0,74;0,465;164;9,38;174;1100
Rio do Pires;11918;78,8;0,594;0,568;0,767;0,481;141;11,11;189;788
Rio Real;37164;70,91;0,572;0,568;0,729;0,452;285;7,05;277;2852
Rodelas;7775;89,47;0,632;0,566;0,79;0,564;43;6,65;68;584
Ruy Barbosa;29887;66,57;0,61;0,583;0,77;0,505;314;9,59;488;2825
Salinas da Margarida;13456;93,38;0,617;0,575;0,729;0,561;76;7,01;148;1132
Salvador;2675656;95,09;0,759;0,772;0,835;0,679;10275;6,14;25149;82348
Santa Bárbara;19064;57,2;0,583;0,554;0,775;0,462;173;9,25;245;3088
Santa Brígida;15060;49,35;0,546;0,533;0,71;0,431;155;8,45;144;1249
